hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,     classical index,     entropic index
Pigeon -> Chien, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 42.1052631578947327, 75.5391308512681405, 50.1766700843060107
Chien -> Pigeon, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 42.1052631578947327, 75.5391308512681405, 50.1766700843060107
Pigeon -> Chamois, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 31.5789473684210513, 55.5198270200005908, 35.6122143646601472
Chamois -> Pigeon, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 31.5789473684210513, 55.5198270200005908, 35.6122143646601472
Pigeon -> Singe, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 26.3157894736842088, 47.6092902033381975, 29.1291220770367190
Singe -> Pigeon, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 27.7777777777777786, 47.5211140874504352, 31.0189870241242609
Pigeon -> Guepe, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 36.8421052631578902, 68.3432586529397383, 42.6280880322249445
Guepe -> Pigeon, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 38.8888888888888928, 68.9922253410912845, 45.5968260747776739
Pigeon -> Renard, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 26.3157894736842088, 47.6092902033381975, 29.1291220770367190
Renard -> Pigeon, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 27.7777777777777786, 47.5211140874504352, 31.0189870241242609
Pigeon -> Vautour, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 26.3157894736842088, 47.6092902033381975, 29.1291220770367190
Vautour -> Pigeon, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 27.7777777777777786, 47.5211140874504352, 31.0189870241242609
Pigeon -> Aigle, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 26.3157894736842088, 47.6092902033381975, 29.1291220770367190
Aigle -> Pigeon, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 27.7777777777777786, 47.5211140874504352, 31.0189870241242609
Pigeon -> Tortue, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 42.1052631578947327, 77.5320213536038949, 50.2310294164095907
Tortue -> Pigeon, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 44.4444444444444429, 78.4180292602522684, 54.0461179820461055
Pigeon -> Corbeau, 19.0000000000000000, 17.0000000000000000, 25.3333333333333357, 21.0526315789473664, 40.0529892115527701, 22.9444176411920076
Corbeau -> Pigeon, 17.0000000000000000, 19.0000000000000000, 22.6666666666666643, 23.5294117647058805, 39.3281653344546456, 26.0448113388309963
Pigeon -> Rat, 19.0000000000000000, 16.0000000000000000, 25.3333333333333357, 26.3157894736842088, 52.8873482743376186, 29.2303215870786559
Rat -> Pigeon, 16.0000000000000000, 19.0000000000000000, 21.3333333333333357, 31.2500000000000000, 53.2289692072530869, 35.6577914099309154
Pigeon -> Vache, 19.0000000000000000, 16.0000000000000000, 25.3333333333333357, 36.8421052631578902, 72.7946267397602895, 42.7314185697430418
Vache -> Pigeon, 16.0000000000000000, 19.0000000000000000, 21.3333333333333357, 43.7500000000000000, 75.2917343077742061, 53.2013186687781428
