hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,     classical simi,       entropic simi
Crypto1 -> ThGraph1, 79.0000000000000000, 112.0000000000000000, 42.7027027027027020, 68.3544303797468300, 84.5780797590998220, 79.8432788864888890, 81.3964784145355220, 0.0000000000000000
ThGraph1 -> Securite2, 112.0000000000000000, 76.0000000000000000, 60.5405405405405470, 35.7142857142857150, 22.9668021202087400, 18.5773068493111570, 18.7770575284957890, 0.0000000000000000
Securite2 -> ThGraph1, 76.0000000000000000, 112.0000000000000000, 41.0810810810810810, 52.6315789473684180, 11.9218900319643260, 53.7396144516528620, 18.7770575284957890, 0.0000000000000000
ThGraph1 -> Securite3, 112.0000000000000000, 72.0000000000000000, 60.5405405405405470, 41.9642857142857150, 65.9968703985214230, 29.1695857014756580, 69.7288036346435550, 0.0000000000000000
Securite3 -> ThGraph1, 72.0000000000000000, 112.0000000000000000, 38.9189189189189190, 65.2777777777777860, 69.9815818524955090, 78.1453224245689600, 69.7288036346435550, 0.0000000000000000
ThGraph1 -> SE1, 112.0000000000000000, 69.0000000000000000, 60.5405405405405470, 38.3928571428571460, 55.8205306529998780, 24.7447965067437040, 57.5285911560058590, 0.0000000000000000
SE1 -> ThGraph1, 69.0000000000000000, 112.0000000000000000, 37.2972972972972980, 62.3188405797101410, 54.2895493634034030, 75.4254265179631890, 57.5285911560058590, 0.0000000000000000
ThGraph1 -> Projet1, 112.0000000000000000, 61.0000000000000000, 60.5405405405405470, 33.9285714285714310, 54.9154877662658690, 21.3781569855108170, 56.9899618625640870, 0.0000000000000000
Projet1 -> ThGraph1, 61.0000000000000000, 112.0000000000000000, 32.9729729729729750, 62.2950819672131150, 53.2844290590831380, 77.6588910506333430, 56.9899618625640870, 0.0000000000000000
ThGraph1 -> Compil2, 112.0000000000000000, 60.0000000000000000, 60.5405405405405470, 33.9285714285714310, 57.6373517513275150, 21.6835332599362900, 60.9505176544189450, 0.0000000000000000
Compil2 -> ThGraph1, 60.0000000000000000, 112.0000000000000000, 32.4324324324324350, 63.3333333333333290, 58.2752419894855360, 79.0371665974637380, 60.9505176544189450, 0.0000000000000000
ThGraph1 -> Crypto3, 112.0000000000000000, 54.0000000000000000, 60.5405405405405470, 30.3571428571428540, 55.8389604091644290, 19.0024061450546710, 59.0481162071228030, 0.0000000000000000
Crypto3 -> ThGraph1, 54.0000000000000000, 112.0000000000000000, 29.1891891891891890, 62.9629629629629620, 55.5528334799382010, 79.9612796373087780, 59.0481162071228030, 0.0000000000000000
